entry_date,exit_date,days_held,S_entry,S_exit,K1,K2,premium,max_profit,max_loss,pnl,pnl_pct,short_delta,sigma,exit_reason,signal
2019-10-15,2019-10-21,6,272.5427551269531,273.55,258.92,245.29,0.255,0.255,13.375,0.1667,1.25,-0.0601,0.1258,profit_target,signal_A
2019-10-21,2019-10-25,4,273.55499267578125,275.02,259.88,246.2,0.2,0.2,13.48,0.108,0.8,-0.0508,0.1193,profit_target,signal_A
2019-10-25,2019-10-29,4,275.02313232421875,276.49,261.27,247.52,0.1944,0.1944,13.5556,0.0998,0.74,-0.0496,0.1185,profit_target,signal_A
2019-10-29,2019-11-01,3,276.4912109375,279.16,262.67,248.84,0.1993,0.1993,13.6307,0.1157,0.85,-0.0503,0.1189,profit_target,signal_A
2019-11-01,2019-11-06,5,279.1629943847656,280.04,265.2,251.25,0.2191,0.2191,13.7309,0.1207,0.88,-0.0533,0.1211,profit_target,signal_A
2019-11-06,2019-11-08,2,280.0384521484375,281.72,266.04,252.03,0.1934,0.1934,13.8166,0.097,0.7,-0.0488,0.1179,profit_target,signal_A
2019-11-08,2019-11-12,4,281.71630859375,281.77,267.63,253.54,0.18,0.18,13.91,0.0901,0.65,-0.0463,0.116,profit_target,signal_A
2019-11-12,2019-11-13,1,281.7709350585937,281.86,267.68,253.59,0.1305,0.1305,13.9595,0.0895,0.64,-0.0369,0.109,profit_target,signal_A
2019-11-13,2019-11-15,2,281.8621520996094,284.32,267.77,253.68,0.0471,0.0471,14.0429,0.0402,0.29,-0.0174,0.0921,profit_target,signal_A
2019-11-15,2019-11-19,4,284.3150939941406,284.44,270.1,255.88,0.0275,0.0275,14.1925,0.0266,0.19,-0.0114,0.0854,profit_target,signal_A
2019-11-19,2019-11-22,3,284.44268798828125,283.56,270.22,256.0,0.0021,0.0021,14.2179,0.0015,0.01,-0.0014,0.0648,profit_target,signal_A
2019-11-22,2019-11-25,3,283.55828857421875,285.76,269.38,255.2,0.0005,0.0005,14.1795,0.0004,0.0,-0.0004,0.0581,profit_target,signal_A
2019-11-25,2019-11-26,1,285.75592041015625,286.4,271.47,257.18,0.0008,0.0008,14.2892,0.0007,0.0,-0.0006,0.0601,profit_target,signal_A
2019-11-26,2019-11-27,1,286.4032897949219,287.68,272.08,257.76,0.0003,0.0003,14.3197,0.0002,0.0,-0.0002,0.0552,profit_target,signal_A
2019-11-27,2019-11-29,2,287.6799621582031,286.61,273.3,258.91,0.0002,0.0002,14.3898,-0.0005,-0.0,-0.0002,0.0549,stop_loss,signal_A
2019-11-29,2019-12-02,3,286.6130676269531,284.18,272.28,257.95,0.0004,0.0004,14.3296,-0.0037,-0.03,-0.0003,0.0571,stop_loss,signal_A
2019-12-02,2019-12-03,1,284.1783142089844,282.27,269.97,255.76,0.0012,0.0012,14.2088,-0.0045,-0.03,-0.0009,0.0619,stop_loss,signal_A
2019-12-03,2019-12-04,1,282.2724609375,284.01,268.16,254.05,0.0019,0.0019,14.1081,0.0014,0.01,-0.0013,0.0643,profit_target,signal_A
2019-12-04,2019-12-06,2,284.0141906738281,287.12,269.81,255.61,0.002,0.002,14.198,0.0017,0.01,-0.0013,0.0646,profit_target,signal_A
2019-12-06,2019-12-12,6,287.1236267089844,289.18,272.77,258.41,0.0037,0.0037,14.3563,0.0032,0.02,-0.0022,0.0682,profit_target,signal_A
2019-12-12,2019-12-16,4,289.1845397949219,291.35,274.73,260.27,0.006,0.006,14.454,0.0056,0.04,-0.0033,0.0714,profit_target,signal_A
2019-12-16,2019-12-19,3,291.34576416015625,292.62,276.78,262.21,0.0039,0.0039,14.5661,0.0029,0.02,-0.0023,0.0685,profit_target,signal_A
2019-12-19,2019-12-20,1,292.6223449707031,293.91,277.99,263.36,0.0038,0.0038,14.6262,0.0023,0.02,-0.0022,0.0682,profit_target,signal_A
2019-12-20,2019-12-23,3,293.9052429199219,294.35,279.21,264.51,0.004,0.004,14.696,0.0022,0.02,-0.0023,0.0685,profit_target,signal_A
2019-12-23,2019-12-26,3,294.3542785644531,295.93,279.64,264.92,0.0039,0.0039,14.7161,0.003,0.02,-0.0023,0.0684,profit_target,signal_A
2019-12-26,2020-01-02,7,295.930419921875,297.7,281.13,266.34,0.0041,0.0041,14.7859,0.0033,0.02,-0.0024,0.0687,profit_target,signal_A
2020-01-02,2020-01-03,1,297.69903564453125,295.44,282.81,267.93,0.0082,0.0082,14.8718,-0.0258,-0.17,-0.0042,0.0736,stop_loss,signal_A
2020-01-03,2020-01-06,3,295.4447326660156,296.57,280.67,265.9,0.0139,0.0139,14.7561,0.0095,0.06,-0.0064,0.078,profit_target,signal_A
2020-01-06,2020-01-09,3,296.57183837890625,299.33,281.74,266.91,0.0122,0.0122,14.8178,0.0102,0.07,-0.0058,0.0769,profit_target,signal_A
2020-01-09,2020-01-13,4,299.33013916015625,300.52,284.36,269.4,0.0133,0.0133,14.9467,0.008,0.05,-0.0062,0.0776,profit_target,signal_A
2020-01-13,2020-01-15,2,300.5214233398437,300.74,285.5,270.47,0.0169,0.0169,15.0131,0.012,0.08,-0.0074,0.0797,profit_target,signal_A
2020-01-15,2020-01-16,1,300.74127197265625,303.24,285.7,270.67,0.0074,0.0074,15.0226,0.0064,0.04,-0.0038,0.0727,profit_target,signal_A
2020-01-16,2020-01-17,1,303.2430419921875,304.19,288.08,272.92,0.0053,0.0053,15.1547,0.003,0.02,-0.0029,0.0702,profit_target,signal_A
2020-01-17,2020-01-22,5,304.18682861328125,303.63,288.98,273.77,0.0047,0.0047,15.2053,0.0026,0.02,-0.0026,0.0694,profit_target,signal_A
2020-01-22,2020-01-24,2,303.6278381347656,301.27,288.45,273.27,0.0035,0.0035,15.1765,-0.0151,-0.1,-0.002,0.0675,stop_loss,signal_A
2020-01-24,2020-01-27,3,301.27276611328125,296.44,286.21,271.15,0.0074,0.0074,15.0526,-0.1558,-1.03,-0.0038,0.0726,stop_loss,signal_A
2020-01-27,2020-01-28,1,296.4435729980469,299.55,281.62,266.8,0.0394,0.0394,14.7806,0.0275,0.19,-0.0146,0.0891,profit_target,signal_A
2020-01-28,2020-01-31,3,299.550048828125,294.82,284.57,269.6,0.0447,0.0447,14.9253,-0.2849,-1.91,-0.016,0.0906,stop_loss,signal_A
2020-01-31,2020-02-03,3,294.82159423828125,297.01,280.08,265.34,0.1142,0.1142,14.6258,0.0648,0.44,-0.0324,0.1055,profit_target,signal_A
2020-02-03,2020-02-04,1,297.0116577148437,301.54,282.16,267.31,0.1272,0.1272,14.7228,0.0772,0.52,-0.0349,0.1075,profit_target,signal_A
2020-02-04,2020-02-05,1,301.5385131835937,305.02,286.46,271.38,0.1846,0.1846,14.8954,0.1003,0.67,-0.0449,0.115,profit_target,signal_A
2020-02-05,2020-02-10,5,305.0206604003906,306.69,289.77,274.52,0.2174,0.2174,15.0326,0.113,0.75,-0.0499,0.1186,profit_target,signal_A
2020-02-10,2020-02-12,2,306.68853759765625,309.2,291.35,276.02,0.2408,0.2408,15.0892,0.1316,0.87,-0.0533,0.1211,profit_target,signal_A
2020-02-12,2020-02-19,7,309.19940185546875,310.04,293.74,278.28,0.2343,0.2343,15.2257,0.1526,1.0,-0.0521,0.1202,profit_target,signal_A
2020-02-19,2020-02-24,5,310.0423583984375,295.45,294.54,279.04,0.1973,0.1973,15.3027,-3.3359,-21.8,-0.0461,0.1159,stop_loss,signal_A
2020-02-24,2020-02-25,1,295.4539489746094,286.5,280.68,265.91,0.6306,0.6306,14.1394,-1.8946,-13.4,-0.1031,0.1556,stop_loss,signal_A
2020-02-25,2020-02-27,2,286.5010681152344,272.63,272.18,257.85,0.9355,0.9355,13.3945,-3.5368,-26.4,-0.1342,0.1787,stop_loss,signal_A
2020-03-02,2020-03-09,7,283.23883056640625,251.29,269.08,254.91,2.0075,2.0075,12.1625,-7.4645,-61.37,-0.2123,0.2535,stop_loss,signal_A
2020-05-26,2020-06-01,6,275.677490234375,281.64,261.89,248.11,2.1679,2.1679,11.6121,1.3866,11.94,-0.2252,0.27,profit_target,signal_A
2020-06-01,2020-06-03,2,281.6412658691406,287.75,267.56,253.48,1.8253,1.8253,12.2547,1.1565,9.44,-0.2016,0.2412,profit_target,signal_A
2020-06-03,2020-06-05,2,287.75250244140625,294.35,273.36,258.98,1.4462,1.4462,12.9338,0.7571,5.85,-0.1738,0.2127,profit_target,signal_A
2020-06-05,2020-06-11,6,294.3522644042969,277.09,279.63,264.92,1.5285,1.5285,13.1815,-4.317,-32.75,-0.1772,0.2159,stop_loss,signal_A
2020-06-11,2020-06-15,4,277.0877685546875,283.02,263.23,249.38,2.2262,2.2262,11.6238,1.1256,9.68,-0.228,0.2737,profit_target,signal_A
2020-06-15,2020-06-23,8,283.0238952636719,288.9,268.87,254.72,2.1062,2.1062,12.0438,1.1838,9.83,-0.2183,0.261,profit_target,signal_A
2020-06-23,2020-07-06,13,288.8983764648437,293.53,274.45,260.01,2.1475,2.1475,12.2925,1.4254,11.6,-0.2181,0.2608,profit_target,signal_A
2020-07-06,2020-07-17,11,293.5274658203125,297.85,278.85,264.17,2.1324,2.1324,12.5476,1.2063,9.61,-0.2153,0.2572,profit_target,signal_A
2020-07-17,2020-07-24,7,297.8508605957031,297.07,282.96,268.07,2.1963,2.1963,12.6937,1.4859,11.71,-0.2172,0.2595,profit_target,signal_A
2020-07-24,2020-07-29,5,297.0732727050781,301.0,282.22,267.37,0.9131,0.9131,13.9369,0.5778,4.15,-0.1293,0.175,profit_target,signal_A
2020-07-29,2020-08-03,5,300.99871826171875,304.4,285.95,270.9,0.8313,0.8313,14.2187,0.4573,3.22,-0.1211,0.1687,profit_target,signal_A
